Input,Pred,Gold
"Mahasiswa itu ketahuan titip absen.

select the most plausible effect:
 - Mahasiswa itu dikeluarkan dari kampus.
 - Dosennya memberikan nilai F.

[LABELS_CHOICE]",1,1
"Siswa SMA itu rambutnya gondrong.

select the most plausible effect:
 - Gurunya menghukum siswa itu.
 - Gurunya mengapresiasi siswa itu.

[LABELS_CHOICE]",1,0
"Pak ogah membantu mobilnya putar balik.

select the most plausible effect:
 - Ia memberikan pak ogah uang receh.
 - Ia memberikan pak ogah bingkisan parsel.

[LABELS_CHOICE]",0,0
"Pengunjung itu memberikan tip 5% ke pelayan.

select the most plausible effect:
 - Pelayan itu kesal.
 - Pelayan itu merasa sangat senang.

[LABELS_CHOICE]",0,1
"Banyak sekali pungli sepanjang perjalanan.

select the most plausible effect:
 - Ia jadi jengkel.
 - Perjalanan semakin lancar.

[LABELS_CHOICE]",0,0
"Ia ingin memberbaharui SIM-C miliknya.

select the most plausible effect:
 - Ia datang ke kantor samsat.
 - Ia datang ke toko ponsel.

[LABELS_CHOICE]",0,0
"Sopir truk jarak jauh itu bosan.

select the most plausible effect:
 - Ia menyetel lagu dangdut.
 - Ia menyetel lagu jazz.

[LABELS_CHOICE]",1,0
"Pemuda tersebut berlatih angklung setiap hari.

select the most plausible effect:
 - Dia semakin handal bermain musik.
 - Dia semakin handal dalam menyetir mobil.

[LABELS_CHOICE]",1,0
"Segerombolan pemuda sedang menjelajah Kalimantan.

select the most plausible effect:
 - Mereka bertemu harimau liar.
 - Mereka bertemu komodo.

[LABELS_CHOICE]",0,0
"Saya minum air kobokan.

select the most plausible effect:
 - Saya merasa segar.
 - Perut saya sakit.

[LABELS_CHOICE]",0,1
"Got di komplek perumahaan itu tersumbat.

select the most plausible effect:
 - Pak RT menyiramkan cairan pelarut sampah.
 - Pak RT berinisiasi mengadakan kerja bakti.

[LABELS_CHOICE]",0,1
"Hari senin, anak SD itu bangun jam 6 pagi.

select the most plausible effect:
 - Anak SD itu langsung bersiap ke sekolah.
 - Anak SD itu tidur lagi.

[LABELS_CHOICE]",1,0
"Ia didatangi pengamen.

select the most plausible effect:
 - Ia memberikan receh ke pengamen itu.
 - Ia memberikan gitar ke pengamen itu.

[LABELS_CHOICE]",1,0
"Banyak pembegalan di sekitar komplek.

select the most plausible effect:
 - Saya sangat bahagia.
 - Saya merasa cemas.

[LABELS_CHOICE]",0,1
"Pelajar itu ingin menembak temannya di sekolah.

select the most plausible effect:
 - Ia membawa bunga.
 - Ia membawa pistol.

[LABELS_CHOICE]",1,0
"Anak itu ingin sekali makan nasi dan ayam goreng tepung.

select the most plausible effect:
 - Ia pergi ke Subway.
 - Ia pergi ke Burger King.

[LABELS_CHOICE]",1,1
"Ada kasus demam berdarah di komplek itu.

select the most plausible effect:
 - Mereka mengadakan penyemprotan.
 - Mereka memanggil detektif.

[LABELS_CHOICE]",0,0
"Kakinya terkilir.

select the most plausible effect:
 - Ia pergi ke tukang urut.
 - Ia pergi ke tukang bekam.

[LABELS_CHOICE]",0,0
"Terlihat layang-layang putus.

select the most plausible effect:
 - Segerombolan anak-anak berlali kabur dari layang-layang itu.
 - Segerombolan anak-anak mengejar layang-layang itu.

[LABELS_CHOICE]",0,1
"Alergi kacangnya kumat dan ia gatal-gatal.

select the most plausible cause:
 - Ia makan cendol.
 - Ia makan ketoperak.

[LABELS_CHOICE]",1,1
"Orang itu menangis kepedasan.

select the most plausible cause:
 - Ia makan ayam penyet.
 - Ia makan ayam kremes.

[LABELS_CHOICE]",0,0
"Listrik di rumahnya padam.

select the most plausible cause:
 - Ia lupa mengisi ulang token PLN.
 - Ia lupa mengisi ulang token PAM.

[LABELS_CHOICE]",0,0
"Ia kehabisan tinta kuning.

select the most plausible cause:
 - Ia mencetak 1000 selebaran promosi PDIP.
 - Ia mencetak 1000 selebaran promosi Golkar.

[LABELS_CHOICE]",0,1
"Anak kecil itu menjerit ketakutan.

select the most plausible cause:
 - Ia melihat onde-onde.
 - Ia melihat ondel-ondel.

[LABELS_CHOICE]",0,1
"Bapak itu merantau ke Jakarta.

select the most plausible cause:
 - Ia ingin jalan-jalan.
 - Ia ingin mencari penghidupan yang lebih baik.

[LABELS_CHOICE]",1,1
"Pemuda itu dilarikan ke rumah sakit.

select the most plausible cause:
 - Ia minum bir oplosan.
 - Ia minum bir pletok.

[LABELS_CHOICE]",0,0
"Ia masuk ke Indomaret.

select the most plausible cause:
 - Ia kelelahan di luar dan ingin cari tempat duduk.
 - Ia kepanasan di luar dan ingin mendinginkan diri.

[LABELS_CHOICE]",0,1
"Ibu pergi ke Pasar Minggu.

select the most plausible cause:
 - Ibu ingin belanja.
 - Hari ini hari minggu.

[LABELS_CHOICE]",0,0
"Ia merasa gelisah.

select the most plausible cause:
 - Orang di sebelahnya terlalu banyak makan jengkol.
 - Orang di sebelahnya hobi makan tempe orek.

[LABELS_CHOICE]",0,0
"Ibu beli beras ketan.

select the most plausible cause:
 - Ibu mau masak kue lumpur.
 - Ibu mau masak kue lemper.

[LABELS_CHOICE]",0,1
"Perempuan itu pergi ke Gambir.

select the most plausible cause:
 - Ia ingin makan siang.
 - Ia ingin pergi ke luar kota.

[LABELS_CHOICE]",1,1
"Wanita itu pergi ke Puncak.

select the most plausible cause:
 - Wanita itu butuh istirahat.
 - Wanita itu sudah bekerja di perusahaannya selama 10 tahun.

[LABELS_CHOICE]",1,0
"Bapak itu senang sekali.

select the most plausible cause:
 - Ada lemper di kotak makanannya.
 - Ada lipan di kotak makanannya.

[LABELS_CHOICE]",1,0
"Ia rajin angkat beban.

select the most plausible cause:
 - Ia ingin terlihat seperti Ade Rai.
 - Ia ingin terlihat seperti Syahrini.

[LABELS_CHOICE]",0,0
"Ia pergi ke Soekarno Hatta.

select the most plausible cause:
 - Ia ada keperluan di Bandung.
 - Ia ada keperluan di Makassar.

[LABELS_CHOICE]",0,1
"Anak itu ketakutan.

select the most plausible cause:
 - Ia mimpi melihat polri.
 - Ia mimpi melihat pocong.

[LABELS_CHOICE]",0,1
"Anak itu menjerit histeris.

select the most plausible cause:
 - Ia naik kora-kora.
 - Ia naik odong-odong.

[LABELS_CHOICE]",0,0
"Ia berurusan dengan polisi.

select the most plausible cause:
 - Ia lupa bawa KK saat berkendara.
 - Ia lupa bawa STNK saat berkendara.

[LABELS_CHOICE]",0,1
"Pria itu memperbaharui KK miliknya.

select the most plausible cause:
 - Ia baru saja lulus kuliah.
 - Ia baru saja menikah.

[LABELS_CHOICE]",1,1
"Dokternya menyarankannya untuk mengurangi konsumsi karbohidrat.

select the most plausible effect:
 - Ia berhenti makan lontong sayur.
 - Ia berhenti makan rujak buah.

[LABELS_CHOICE]",0,0
"Ia ingin pergi jalan-jalan ke Ancol.

select the most plausible effect:
 - Ia mengenakan jaket tebal.
 - Ia mengenakan sunscreen.

[LABELS_CHOICE]",0,1
"Ia ingin mencari buku bacaan baru.

select the most plausible effect:
 - Ia pergi ke Barnes Noble.
 - Ia pergi ke Gunung Agung.

[LABELS_CHOICE]",1,1
"Orang itu sangat mengidolakan Gatot Kaca.

select the most plausible effect:
 - Ia jadi rajin pergi ke salon.
 - Ia jadi rajin berolahraga.

[LABELS_CHOICE]",1,1
"Ia diminta membuat laporan tentang pahlawan nasional.

select the most plausible effect:
 - Ia menulis tentang Diponegoro.
 - Ia menulis tentang Martin Luther King Jr.

[LABELS_CHOICE]",1,0
"Saya tidak sengaja menumpahkan kuah gulai.

select the most plausible effect:
 - Bajunya menjadi hijau.
 - Bajunya menjadi kuning.

[LABELS_CHOICE]",0,1
"Hari ini adalah hari libur Idul Fitri.

select the most plausible effect:
 - Orang-orang pergi mudik.
 - Orang-orang beritikaf di masjid.

[LABELS_CHOICE]",1,0
"Diadakan acara keroncong di kampung.

select the most plausible effect:
 - Banyak warga kelaparan.
 - Banyak warga terhibur.

[LABELS_CHOICE]",0,1
"Kakakku mengidolakan Joko Anwar.

select the most plausible effect:
 - Kakakku ingin masuk dunia politik.
 - Kakakku ingin berkarya di dunia film.

[LABELS_CHOICE]",0,1
"Kakakku mengidolakan Joko Widodo.

select the most plausible effect:
 - Kakakku ingin masuk dunia politik.
 - Kakakku ingin berkarya di dunia film.

[LABELS_CHOICE]",0,0
"Siswa SMA itu ingin sekali melanjutkan pendidikan di ITB.

select the most plausible effect:
 - Siswa itu belajar IELTS.
 - Siswa itu mengikuti bimbel.

[LABELS_CHOICE]",0,1
"Bapak terlalu banyak mengonsumsi Gudang Garam.

select the most plausible effect:
 - Bapak sakit paru-paru.
 - Bapak darah tinggi.

[LABELS_CHOICE]",0,0
"Sekumpulan anak melompat-lompat di TransJakarta.

select the most plausible effect:
 - Mereka ditegur penumpang lainnya.
 - Banyak anak lainnya yang jadi ikut melompat-lompat.

[LABELS_CHOICE]",1,0
"Sekumpulan anak melompat-lompat di Trans Studio.

select the most plausible effect:
 - Mereka ditegur penumpang lainnya.
 - Banyak anak lainnya yang jadi ikut melompat-lompat.

[LABELS_CHOICE]",1,1
"Ia makan es teler setiap hari.

select the most plausible effect:
 - Ia diabetes.
 - Ia mabuk.

[LABELS_CHOICE]",0,0
"Aplikasi QRIS-nya rusak.

select the most plausible effect:
 - Ia panggil tukang servis.
 - Ia akhirnya pakai kartu debit.

[LABELS_CHOICE]",1,1
"Ia ingin mendapatkan kursi DPR.

select the most plausible effect:
 - Ia melakukan kampanye besar-besaran.
 - Ia beli kursi di toko furnitur.

[LABELS_CHOICE]",0,0
"Pemudi itu ingin sekali makan nasi padang.

select the most plausible effect:
 - Ia pesan tiket pesawat ke Padang.
 - Ia pesan melalui aplikasi.

[LABELS_CHOICE]",1,1
"Anak itu berjalan kaki mengelilingi Taman Mini.

select the most plausible effect:
 - Ia tidak lelah.
 - Ia sangat kelelahan.

[LABELS_CHOICE]",0,1
"Ia ganteng.

select the most plausible effect:
 - Ia melamar pekerjaan di Tanah Abang.
 - Ia mengajukan diri sebagai Abang Jakarta.

[LABELS_CHOICE]",0,1
"Polisi mengamankan stadion.

select the most plausible cause:
 - Ada perseteruan Persija dan Persebaya.
 - Ada perseteruan NU dan Muhammadiyah.

[LABELS_CHOICE]",0,0
"Mereka sekeluarga sehari-hari makan raskin.

select the most plausible cause:
 - Bapaknya seorang pemulung.
 - Bapaknya direktur Telkomsel.

[LABELS_CHOICE]",0,0
"Rambut gadis itu seperti mak lampir.

select the most plausible cause:
 - Ia jarang mandi.
 - Ia sering creambath.

[LABELS_CHOICE]",1,0
"Laporan BMKG membuat warga panik.

select the most plausible cause:
 - Akan terjadi inflasi.
 - Akan terjadi badai.

[LABELS_CHOICE]",0,1
"Ia senang tinggal di Kebon Jeruk.

select the most plausible cause:
 - Akses ke kantornya mudah.
 - Ia bisa makan jeruk setiap hari.

[LABELS_CHOICE]",0,0
"Ia tidak suka tinggal di Kelapa Gading.

select the most plausible cause:
 - Kelapa membuatnya mual.
 - Jalanan macet.

[LABELS_CHOICE]",1,1
"Mahasiswa sedang mengumpulkan dana untuk kegiatan mahasiswa.

select the most plausible cause:
 - Mereka terlihat sedang berjualan piscok.
 - Mereka terlihat sedang berjualan handphone.

[LABELS_CHOICE]",1,0
"Tiba-tiba bapak didatangi rentenir.

select the most plausible cause:
 - Foto KTP-nya bocor.
 - Foto ijazahnya bocor.

[LABELS_CHOICE]",0,0
"Dia dibawa ke rumah sakit.

select the most plausible cause:
 - Dia tidak sengaja menelan biji salak.
 - Dia tidak sengaja menelan biji pepaya.

[LABELS_CHOICE]",1,0
"Ia dirujak teman-temannya.

select the most plausible cause:
 - Ia suka buah-buahan.
 - Ia beropini yang kontroversial.

[LABELS_CHOICE]",0,1
"Anak itu diterima masuk UI.

select the most plausible effect:
 - Sekeluarga makan nasi uduk.
 - Sekeluarga makan nasi kuning.

[LABELS_CHOICE]",1,1
"Ibu belanja di pasar.

select the most plausible effect:
 - Ia membayar dengan ApplePay.
 - Ia membayar dengan uang kertas.

[LABELS_CHOICE]",0,1
"Anak itu ingin merantau.

select the most plausible effect:
 - Ibunya membekalinya rendang.
 - Ibunya membekalinya kerupuk.

[LABELS_CHOICE]",1,0
"Kelakuannya seperti dajjal.

select the most plausible effect:
 - Dia banyak dimusuhi orang.
 - Dia banyak teman.

[LABELS_CHOICE]",0,0
"Orang itu mengalami kecelakaan mobil.

select the most plausible effect:
 - Ia dilarikan ke UGD.
 - Ia dilarikan ke puskesmas.

[LABELS_CHOICE]",1,0
"Ibu menyampurkan gula, garam, dan jeruk di masakannya.

select the most plausible effect:
 - Rasa makanannya nano-nano.
 - Rasa makanannya kopiko.

[LABELS_CHOICE]",0,0
"Aku sedang berhemat.

select the most plausible effect:
 - Aku naik Damri.
 - Aku naik Blue Bird.

[LABELS_CHOICE]",0,0
"Saya terlambat masuk kantor.

select the most plausible effect:
 - Saya segera naik angkot.
 - Saya segera pesan Gojek.

[LABELS_CHOICE]",0,1
"Ia suka berjemur.

select the most plausible effect:
 - Ia cukup sering main ke Lombok.
 - Ia cukup sering main ke Lembang.

[LABELS_CHOICE]",0,0
"Ada pesta makan rengginang.

select the most plausible effect:
 - Banyak remah-remah di lantai.
 - Mereka ditangkap aparat.

[LABELS_CHOICE]",0,0
"Ia dikenal sebagai kembang desa.

select the most plausible cause:
 - Parasnya begitu cantik.
 - Ia banyak menanam kembang di sekitar rumahnya.

[LABELS_CHOICE]",0,0
"Air seninya bening.

select the most plausible cause:
 - Ia terlalu banyak minum air.
 - Cat warnanya habis.

[LABELS_CHOICE]",0,0
"Dirinya dijuluki bermuka badak.

select the most plausible cause:
 - Dia selalu tampil di depan kelas.
 - Dia suka pakai topeng badak.

[LABELS_CHOICE]",1,0
"Rumahnya dimakan si jago merah.

select the most plausible cause:
 - Pemilik rumah lupa mematikan kompor.
 - Si jago merah kelaparan.

[LABELS_CHOICE]",1,0
"Jalanan macet.

select the most plausible cause:
 - Mahasiswa sedang demo praktikum.
 - Mahasiswa sedang demo.

[LABELS_CHOICE]",0,1
"Ia mengadu domba tetangganya.

select the most plausible effect:
 - Tetangganya jadi bertengkar.
 - Domba tetangganya terluka.

[LABELS_CHOICE]",1,0
"Anak itu ingin sekali menuntut ilmu di negeri sakura.

select the most plausible effect:
 - Ia pergi ke pengadilan Tokyo.
 - Ia belajar bahasa Jepang.

[LABELS_CHOICE]",0,1
"Ia selalu jadi mahasiswi kupu-kupu.

select the most plausible effect:
 - Ia jadi cantik.
 - Ia kurang pengalaman.

[LABELS_CHOICE]",0,1
"Ia selalu jadi mahasiswa kura-kura.

select the most plausible effect:
 - Ia kurang tidur.
 - Jalannya lambat.

[LABELS_CHOICE]",0,0
"Orang itu sudah bau tanah.

select the most plausible effect:
 - Orang itu hobi kamping.
 - Orang itu sering sakit.

[LABELS_CHOICE]",1,1
"Gadis itu berjalan melewati tukang bakso, tiba-tiba tukang baksonya senyum.

select the most plausible cause:
 - Tukang baksonya sedang kesal dengan gadis tersebut.
 - Tukang baksonya sedang menyapa gadis tersebut.

[LABELS_CHOICE]",0,1
"Mertua mendapatkan menantu idaman.

select the most plausible cause:
 - Menantunya kerja jadi freelancer.
 - Menantunya kerja jadi PNS.

[LABELS_CHOICE]",0,1
"Di malam hari jalanan sangat ramai.

select the most plausible cause:
 - Hari ini hari sabtu.
 - Hari ini hari jumat.

[LABELS_CHOICE]",0,0
"Anak muda itu pakai baju seragam SMA yang sudah dicoret-coret.

select the most plausible cause:
 - Anak muda itu baru lulus sekolah.
 - Anak muda itu baru diterima di sekolahnya.

[LABELS_CHOICE]",0,0
"Hari minggu pagi warga kompleks berkumpul bersama.

select the most plausible cause:
 - Warga kompleks akan nonton pertandingan bola.
 - Warga kompleks akan kerja bakti.

[LABELS_CHOICE]",1,1
"Murid itu bisa membangun tenda.

select the most plausible cause:
 - Murid itu ikut OSIS.
 - Murid itu ikut Pramuka.

[LABELS_CHOICE]",0,1
"Penonton berjoget bersama di lapangan.

select the most plausible cause:
 - Penonton sedang menonton konser dangdut.
 - Penonton sedang menonton konser metal.

[LABELS_CHOICE]",1,0
"Malam ini orang-orang membakar jagung, sosis, dan ikan.

select the most plausible cause:
 - Besok tanggal 1 Januari.
 - Besok tanggal 17 Agustus.

[LABELS_CHOICE]",0,0
"Paman sedang sarungan, kokoan, dan pecian.

select the most plausible cause:
 - Paman mau ke masjid.
 - Paman mau pergi memancing.

[LABELS_CHOICE]",0,0
"Malin kundang jadi batu.

select the most plausible cause:
 - Malin kundang mencuri pusaka kerajaan.
 - Malin kundang durhaka ke ibunya.

[LABELS_CHOICE]",1,1
"Bawang putih disiksa ibunya.

select the most plausible cause:
 - Bawang putih hanyalah anak tiri.
 - Bawang putih durhaka ke ibunya.

[LABELS_CHOICE]",1,0
"Saat lebaran, suasana kota Jakarta sangat sepi.

select the most plausible cause:
 - Masyarakat sedang nyepi.
 - Masyarakatnya sedang pulang kampung.

[LABELS_CHOICE]",0,1
"Laki-laki bugis perlu menabung uang banyak sebelum menikah.

select the most plausible cause:
 - Mahar yang diberikan ke keluarga pasangan mahal.
 - Uangnya untuk disedekahkan ke yang membutuhkan.

[LABELS_CHOICE]",0,0
"Lantai rumah jarang berdebu.

select the most plausible cause:
 - Pengunjung lepas sepatu sebelum masuk rumah.
 - Rumah sering ditinggal pemilik.

[LABELS_CHOICE]",0,0
"Sepupuku pakai jaket di siang hari.

select the most plausible cause:
 - Sepupuku sedang sakit flu.
 - Sepupuku takut kulitnya menghitam.

[LABELS_CHOICE]",0,1
"Saya makan lalapan pakai tangan.

select the most plausible cause:
 - Lebih mudah mengambil lalapannya.
 - Sebagai bentuk rasa syukur ke Tuhan.

[LABELS_CHOICE]",0,0
"Kakak sedang membuat sambal terasi.

select the most plausible cause:
 - Kakak membuat sambalnya dengan diulek.
 - Kakak membiarkan sambal dan bahan lainnya secara mentah.

[LABELS_CHOICE]",1,0
"Pelajar jogja dilarang keluar rumah diatas jam 10 malam.

select the most plausible cause:
 - Di jogja sering terjadi gempa bumi.
 - Fenomena klitih sedang marak.

[LABELS_CHOICE]",0,1
"Aku tidak diperbolehkan menonton pertandingan Persib melawan Persija oleh ibu.

select the most plausible cause:
 - Kemungkinan pertandingan menjadi tidak seru.
 - Kemungkinan akan terjadi kerusuhan.

[LABELS_CHOICE]",0,1
"Papa mendapat gaji tambahan di hari raya.

select the most plausible cause:
 - Gaji tersebut adalah uang pensiun.
 - Gaji tersebut adalah THR.

[LABELS_CHOICE]",1,1
"Tahun ini, ujian sekolah pakai LJK.

select the most plausible effect:
 - Murid harus menggunakan pensil.
 - Murid harus menggunakan pulpen.

[LABELS_CHOICE]",1,0
"Tiap awal bulan, ibu pergi ke warung.

select the most plausible effect:
 - Ibu mengisi token listrik dirumah.
 - Ibu ikut minum kopi di warung.

[LABELS_CHOICE]",0,0
"Orang itu suka bersantai pakai kaos dalam dan sarung.

select the most plausible effect:
 - Dia dijuluki seperti anak muda.
 - Dia dijuluki seperti bapak-bapak.

[LABELS_CHOICE]",0,1
"Punggung pakde sedang dikerok.

select the most plausible effect:
 - Badan pakde tidak perih lagi.
 - Badan pakde tidak masuk angin lagi.

[LABELS_CHOICE]",0,1
"Bendahara kelas hari ini ulang tahun.

select the most plausible effect:
 - Bendahara kelas dilempar garam oleh temannya.
 - Bendahara kelas dilempar tepung oleh temannya.

[LABELS_CHOICE]",0,1
"Kami menghormati pengorbanan para pahlawan.

select the most plausible effect:
 - Kami mengikuti upacara setiap senin.
 - Kami mengikuti aktivitas kemah setiap minggu.

[LABELS_CHOICE]",0,0
"Hari ini hari raya nyepi di Bali.

select the most plausible effect:
 - Jalanan di Bali sepi.
 - Jalanan di Bali ramai.

[LABELS_CHOICE]",0,0
"Bibi lagi liburan ke Lombok.

select the most plausible effect:
 - Bibi mampir ke pantai.
 - Bibi mampir ke tempat ski.

[LABELS_CHOICE]",0,0
"Teman saya tinggal di sekitaran SCBD.

select the most plausible effect:
 - Dia punya biaya hidup murah.
 - Dia punya biaya hidup mahal.

[LABELS_CHOICE]",0,1
"Kakak menjaga kebersihan tubuh.

select the most plausible effect:
 - Kakak mandi dua hari sekali.
 - Kakak mandi dua kali sehari.

[LABELS_CHOICE]",1,1
"Aku mendadak lapar saat malam hari.

select the most plausible effect:
 - Aku beli nasi goreng.
 - Aku beli nasi uduk.

[LABELS_CHOICE]",0,0
"Adik menyapu lantai tidak bersih.

select the most plausible effect:
 - Ibu yang percaya mitos berkata ""Nanti suami kamu gembul, lho"".
 - Ibu yang percaya mitos berkata, ""Nanti suami kamu brewokan, lho"".

[LABELS_CHOICE]",1,1
"Keluarga Pak Kades selesai makan di restoran.

select the most plausible effect:
 - Pak Kades memberikan uang tips ke pelayan.
 - Keluarga Pak Kades kembali pulang ke rumah.

[LABELS_CHOICE]",1,1
"Dosenku membeli nasi padang untuk dibawa pulang.

select the most plausible effect:
 - Dosenku tidak mendapat daging di nasi padangnya.
 - Nasi yang didapat lebih banyak.

[LABELS_CHOICE]",0,1
"Hari ini hari raya kartini.

select the most plausible effect:
 - Anak sekolah cewek pakai baju kebaya.
 - Anak sekolah cewek diliburkan.

[LABELS_CHOICE]",1,0
"Adik yang masih TK akan berangkat ke sekolah.

select the most plausible effect:
 - Adik menunggu bis sekolah.
 - Adik mencium tangan orang tua.

[LABELS_CHOICE]",0,1
"Keluarga kami mau buka puasa.

select the most plausible effect:
 - Kami berbuka puasa dengan makanan manis.
 - Kami berbuka puasa dengan makanan asin.

[LABELS_CHOICE]",0,0
"Adik makan ayam tidak pakai nasi.

select the most plausible effect:
 - Makanannya serasa tidak kenyang.
 - Makanannya serasa tidak enak.

[LABELS_CHOICE]",1,0
"Keluarga yang percaya mitos itu punya banyak anak.

select the most plausible effect:
 - Keluarga tersebut yakin akan mendapat banyak ilmu.
 - Keluarga tersebut yakin akan mendapat banyak rezeki.

[LABELS_CHOICE]",0,1
"Warung kami tidak punya uang pecahan.

select the most plausible effect:
 - Pakai camilan sebagai pengganti uang pecahan.
 - Pakai permen sebagai pengganti uang pecahan.

[LABELS_CHOICE]",0,1
"Paman tidak mau diajak ke Malang.

select the most plausible cause:
 - Paman tidak tahan dingin.
 - Paman tidak tahan panas.

[LABELS_CHOICE]",0,0
"Aku datang ke acara Mamah Dedeh.

select the most plausible cause:
 - Aku ingin berobat.
 - Aku ingin curhat.

[LABELS_CHOICE]",0,1
"Pak Jokowi menjadi lebih dekat dengan masyarakat.

select the most plausible cause:
 - Pak Jokowi sering blusukan ke pasar.
 - Pak Jokowi sering tampil di acara TV.

[LABELS_CHOICE]",1,0
"Cewek itu baru saja makan Seblak.

select the most plausible cause:
 - Badannya terasa panas.
 - Badannya terasa capek.

[LABELS_CHOICE]",1,0
"Keluargaku kehabisan gas.

select the most plausible cause:
 - Kami baru saja naik mobil mengelilingi Jakarta.
 - Kami baru saja memasak banyak masakan.

[LABELS_CHOICE]",1,1
"Setelah upacara, saya minum cendol.

select the most plausible cause:
 - Badan saya terasa segar.
 - Badan saya terasa hangat.

[LABELS_CHOICE]",1,0
"Banyak rombongan study tour mampir ke Monas.

select the most plausible cause:
 - Rombongan study tour bisa melihat pemandangan kota.
 - Rombongan study tour bisa menikmati suasana udara dingin.

[LABELS_CHOICE]",1,0
"Aku membawa baju renang sebelum berangkat.

select the most plausible cause:
 - Aku mau ke Gunung Kidul.
 - Aku mau ke Ancol.

[LABELS_CHOICE]",0,1
"Andi F Noya melakukan hal yang gila.

select the most plausible cause:
 - Dia membela teroris di sidang hari ini.
 - Dia mewawancarai teroris di TV nasional.

[LABELS_CHOICE]",1,1
"Iwan Fals banyak disukai orang orang.

select the most plausible cause:
 - Akting Iwan Fals bagus.
 - Nyanyian Iwan Fals bagus.

[LABELS_CHOICE]",0,1
"Bos saya tidak banyak makan nasi saat kerja di Papua.

select the most plausible cause:
 - Sagu adalah makanan pokok disana.
 - Jagung adalah makanan pokok dimana.

[LABELS_CHOICE]",0,0
"Bakpia cocok jadi cemilan.

select the most plausible cause:
 - Ukuran Bakpia kecil.
 - Bakpia sangat renyah.

[LABELS_CHOICE]",0,0
"Mata paman berkunang-kunang.

select the most plausible cause:
 - Paman bekerja keras seharian.
 - Paman belum mandi seharian.

[LABELS_CHOICE]",0,0
"Raja Ampat memberikan pesona yang luar biasa.

select the most plausible cause:
 - Keindahan bawah lautnya yang luar biasa.
 - Figur dan sifatnya yang sangat berwibawa.

[LABELS_CHOICE]",0,0
